index_left,index_middle,index_right,reflectance_surround_left,reflectance_center_left,emission_spot_left,reflectance_surround_middle,reflectance_center_middle,emission_spot_middle,reflectance_surround_right,reflectance_center_right,emission_spot_right,ImageName,ImageExr,ImageNpy,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sound_1.started,BB_Trial.resp,BB_Trial.color,BB_Trial.rt,text.started,text.stopped,block,sound_4.started,participant,session,L/B,scene,condition,nTrialsPerBlock,date,expName,psychopyVersion,frameRate,Unnamed: 41
7,14,11,2,0.111111111111111,1.0,2,0.25,3.10526315789474,2,1.0,1.0,ReadingArea_rsl2-rcl11-esl100-rsm2-rcm25-esm310-rsr2-rcr100-esr100,exr/ReadingArea_rsl2-rcl11-esl100-rsm2-rcm25-esm310-rsr2-rcr100-esr100.exr,ReadingArea_rsl2-rcl11-esl100-rsm2-rcm25-esm310-rsr2-rcr100-esr100.npz,,,,,0,0,0,252,137.0594607591629,right,red,0.88,152.43236804008484,152.78863310813904,1,,EB,2,lightness,readingArea,uniform,75,2023-03-12_16h22.39.803,tripletExp_regina_11082022,2022.2.4,120.44706341822024,
13,6,12,2,0.111111111111111,3.10526315789474,2,0.027777777777778,1.0,2,0.027777777777778,3.10526315789474,ReadingArea_rsl2-rcl11-esl310-rsm2-rcm2-esm100-rsr2-rcr2-esr310,exr/ReadingArea_rsl2-rcl11-esl310-rsm2-rcm2-esm100-rsr2-rcr2-esr310.exr,ReadingArea_rsl2-rcl11-esl310-rsm2-rcm2-esm100-rsr2-rcr2-esr310.npz,,,,,0,1,1,147,,right,red,0.9,154.48423600196838,154.80330109596252,1,,EB,2,lightness,readingArea,uniform,75,2023-03-12_16h22.39.803,tripletExp_regina_11082022,2022.2.4,120.44706341822024,
6,12,3,2,0.027777777777778,1.0,2,0.027777777777778,3.10526315789474,2,0.444444444444444,0.298245614035088,ReadingArea_rsl2-rcl2-esl100-rsm2-rcm2-esm310-rsr2-rcr44-esr29,exr/ReadingArea_rsl2-rcl2-esl100-rsm2-rcm2-esm310-rsr2-rcr44-esr29.exr,ReadingArea_rsl2-rcl2-esl100-rsm2-rcm2-esm310-rsr2-rcr44-esr29.npz,,,,,0,2,2,284,,right,red,1.47,156.49346208572388,156.81316804885864,1,,EB,2,lightness,readingArea,uniform,75,2023-03-12_16h22.39.803,tripletExp_regina_11082022,2022.2.4,120.44706341822024,
8,10,9,2,0.25,1.0,2,0.694444444444444,1.0,2,0.444444444444444,1.0,ReadingArea_rsl2-rcl25-esl100-rsm2-rcm69-esm100-rsr2-rcr44-esr100,exr/ReadingArea_rsl2-rcl25-esl100-rsm2-rcm69-esm100-rsr2-rcr44-esr100.exr,ReadingArea_rsl2-rcl25-esl100-rsm2-rcm69-esm100-rsr2-rcr44-esr100.npz,,,,,0,3,3,342,,right,red,1.23,158.5232949256897,158.8657729625702,1,,EB,2,lightness,readingArea,uniform,75,2023-03-12_16h22.39.803,tripletExp_regina_11082022,2022.2.4,120.44706341822024,
6,10,9,2,0.027777777777778,1.0,2,0.694444444444444,1.0,2,0.444444444444444,1.0,ReadingArea_rsl2-rcl2-esl100-rsm2-rcm69-esm100-rsr2-rcr44-esr100,exr/ReadingArea_rsl2-rcl2-esl100-rsm2-rcm69-esm100-rsr2-rcr44-esr100.exr,ReadingArea_rsl2-rcl2-esl100-rsm2-rcm69-esm100-rsr2-rcr44-esr100.npz,,,,,0,4,4,148,,right,red,0.91,160.56056308746338,160.88735389709473,1,,EB,2,lightness,readingArea,uniform,75,2023-03-12_16h22.39.803,tripletExp_regina_11082022,2022.2.4,120.44706341822024,
2,14,1,2,0.25,0.298245614035088,2,0.25,3.10526315789474,2,0.111111111111111,0.298245614035088,ReadingArea_rsl2-rcl25-esl29-rsm2-rcm25-esm310-rsr2-rcr11-esr29,exr/ReadingArea_rsl2-rcl25-esl29-rsm2-rcm25-esm310-rsr2-rcr11-esr29.exr,ReadingArea_rsl2-rcl25-esl29-rsm2-rcm25-esm310-rsr2-rcr11-esr29.npz,,,,,0,5,5,579,,left,green,1.1,162.59562301635742,162.95678997039795,1,,EB,2,lightness,readingArea,uniform,75,2023-03-12_16h22.39.803,tripletExp_regina_11082022,2022.2.4,120.44706341822024,
6,12,0,2,0.027777777777778,1.0,2,0.027777777777778,3.10526315789474,2,0.027777777777778,0.298245614035088,ReadingArea_rsl2-rcl2-esl100-rsm2-rcm2-esm310-rsr2-rcr2-esr29,exr/ReadingArea_rsl2-rcl2-esl100-rsm2-rcm2-esm310-rsr2-rcr2-esr29.exr,ReadingArea_rsl2-rcl2-esl100-rsm2-rcm2-esm310-rsr2-rcr2-esr29.npz,,,,,0,6,6,23,,left,green,2.09,166.4233100414276,166.7629430294037,1,,EB,2,lightness,readingArea,uniform,75,2023-03-12_16h22.39.803,tripletExp_regina_11082022,2022.2.4,120.44706341822024,
3,2,11,2,0.444444444444444,0.298245614035088,2,0.25,0.298245614035088,2,1.0,1.0,ReadingArea_rsl2-rcl44-esl29-rsm2-rcm25-esm29-rsr2-rcr100-esr100,exr/ReadingArea_rsl2-rcl44-esl29-rsm2-rcm25-esm29-rsr2-rcr100-esr100.exr,ReadingArea_rsl2-rcl44-esl29-rsm2-rcm25-esm29-rsr2-rcr100-esr100.npz,,,,,0,7,7,257,,left,green,0.72,168.48628306388855,168.82384991645813,1,,EB,2,lightness,readingArea,uniform,75,2023-03-12_16h22.39.803,tripletExp_regina_11082022,2022.2.4,120.44706341822024,
3,7,8,2,0.444444444444444,0.298245614035088,2,0.111111111111111,1.0,2,0.25,1.0,ReadingArea_rsl2-rcl44-esl29-rsm2-rcm11-esm100-rsr2-rcr25-esr100,exr/ReadingArea_rsl2-rcl44-esl29-rsm2-rcm11-esm100-rsr2-rcr25-esr100.exr,ReadingArea_rsl2-rcl44-esl29-rsm2-rcm11-esm100-rsr2-rcr25-esr100.npz,,,,,0,8,8,246,,left,green,2.5,172.28834199905396,172.70274996757507,1,,EB,2,lightness,readingArea,uniform,75,2023-03-12_16h22.39.803,tripletExp_regina_11082022,2022.2.4,120.44706341822024,
12,6,8,2,0.027777777777778,3.10526315789474,2,0.027777777777778,1.0,2,0.25,1.0,ReadingArea_rsl2-rcl2-esl310-rsm2-rcm2-esm100-rsr2-rcr25-esr100,exr/ReadingArea_rsl2-rcl2-esl310-rsm2-rcm2-esm100-rsr2-rcr25-esr100.exr,ReadingArea_rsl2-rcl2-esl310-rsm2-rcm2-esm100-rsr2-rcr25-esr100.npz,,,,,0,9,9,540,,left,green,1.08,174.3797070980072,174.72519707679749,1,,EB,2,lightness,readingArea,uniform,75,2023-03-12_16h22.39.803,tripletExp_regina_11082022,2022.2.4,120.44706341822024,
