index_left,index_middle,index_right,reflectance_surround_left,reflectance_center_left,emission_spot_left,reflectance_surround_middle,reflectance_center_middle,emission_spot_middle,reflectance_surround_right,reflectance_center_right,emission_spot_right,ImageName,ImageExr,ImageNpy,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sound_1.started,BB_Trial.resp,BB_Trial.color,BB_Trial.rt,text.started,text.stopped,block,participant,session,L/B,scene,condition,nTrialsPerBlock,date,expName,psychopyVersion,frameRate,
13,8,5,0,0.111111111111111,3.10526315789474,0,0.25,1.0,0,1.0,0.298245614035088,ReadingArea_rsl0-rcl11-esl310-rsm0-rcm25-esm100-rsr0-rcr100-esr29,exr/ReadingArea_rsl0-rcl11-esl310-rsm0-rcm25-esm100-rsr0-rcr100-esr29.exr,ReadingArea_rsl0-rcl11-esl310-rsm0-rcm25-esm100-rsr0-rcr100-esr29.npz,,,,,0,0,0,209,137.07736024856567,left,green,0.82,141.14054417610168,138.11244201660156,1,1,9,brightness,readingArea,realistic,75,2023-03-31_14h33.20.567,tripletExp_regina_11082022,2022.2.4,119.85540667586807,
11,13,8,0,1.0,1.0,0,0.111111111111111,3.10526315789474,0,0.25,1.0,ReadingArea_rsl0-rcl100-esl100-rsm0-rcm11-esm310-rsr0-rcr25-esr100,exr/ReadingArea_rsl0-rcl100-esl100-rsm0-rcm11-esm310-rsr0-rcr25-esr100.exr,ReadingArea_rsl0-rcl100-esl100-rsm0-rcm11-esm310-rsr0-rcr25-esr100.npz,,,,,0,1,1,198,,right,red,0.64,143.25831413269043,143.92062902450562,1,1,9,brightness,readingArea,realistic,75,2023-03-31_14h33.20.567,tripletExp_regina_11082022,2022.2.4,119.85540667586807,
5,7,14,0,1.0,0.298245614035088,0,0.111111111111111,1.0,0,0.25,3.10526315789474,ReadingArea_rsl0-rcl100-esl29-rsm0-rcm11-esm100-rsr0-rcr25-esr310,exr/ReadingArea_rsl0-rcl100-esl29-rsm0-rcm11-esm100-rsr0-rcr25-esr310.exr,ReadingArea_rsl0-rcl100-esl29-rsm0-rcm11-esm100-rsr0-rcr25-esr310.npz,,,,,0,2,2,210,,left,green,2.37,147.36327719688416,147.81580114364624,1,1,9,brightness,readingArea,realistic,75,2023-03-31_14h33.20.567,tripletExp_regina_11082022,2022.2.4,119.85540667586807,
3,7,0,0,0.444444444444444,0.298245614035088,0,0.111111111111111,1.0,0,0.027777777777778,0.298245614035088,ReadingArea_rsl0-rcl44-esl29-rsm0-rcm11-esm100-rsr0-rcr2-esr29,exr/ReadingArea_rsl0-rcl44-esl29-rsm0-rcm11-esm100-rsr0-rcr2-esr29.exr,ReadingArea_rsl0-rcl44-esl29-rsm0-rcm11-esm100-rsr0-rcr2-esr29.npz,,,,,0,3,3,327,,left,green,0.67,149.51170206069946,149.92806911468506,1,1,9,brightness,readingArea,realistic,75,2023-03-31_14h33.20.567,tripletExp_regina_11082022,2022.2.4,119.85540667586807,
11,7,8,0,1.0,1.0,0,0.111111111111111,1.0,0,0.25,1.0,ReadingArea_rsl0-rcl100-esl100-rsm0-rcm11-esm100-rsr0-rcr25-esr100,exr/ReadingArea_rsl0-rcl100-esl100-rsm0-rcm11-esm100-rsr0-rcr25-esr100.exr,ReadingArea_rsl0-rcl100-esl100-rsm0-rcm11-esm100-rsr0-rcr25-esr100.npz,,,,,0,4,4,37,,right,red,0.63,151.62567114830017,152.0378201007843,1,1,9,brightness,readingArea,realistic,75,2023-03-31_14h33.20.567,tripletExp_regina_11082022,2022.2.4,119.85540667586807,
11,1,4,0,1.0,1.0,0,0.111111111111111,0.298245614035088,0,0.694444444444444,0.298245614035088,ReadingArea_rsl0-rcl100-esl100-rsm0-rcm11-esm29-rsr0-rcr69-esr29,exr/ReadingArea_rsl0-rcl100-esl100-rsm0-rcm11-esm29-rsr0-rcr69-esr29.exr,ReadingArea_rsl0-rcl100-esl100-rsm0-rcm11-esm29-rsr0-rcr69-esr29.npz,,,,,0,5,5,110,,right,red,0.69,153.74141311645508,154.15544414520264,1,1,9,brightness,readingArea,realistic,75,2023-03-31_14h33.20.567,tripletExp_regina_11082022,2022.2.4,119.85540667586807,
10,11,0,0,0.694444444444444,1.0,0,1.0,1.0,0,0.027777777777778,0.298245614035088,ReadingArea_rsl0-rcl69-esl100-rsm0-rcm100-esm100-rsr0-rcr2-esr29,exr/ReadingArea_rsl0-rcl69-esl100-rsm0-rcm100-esm100-rsr0-rcr2-esr29.exr,ReadingArea_rsl0-rcl69-esl100-rsm0-rcm100-esm100-rsr0-rcr2-esr29.npz,,,,,0,6,6,58,,left,green,0.56,155.8497931957245,156.28983116149902,1,1,9,brightness,readingArea,realistic,75,2023-03-31_14h33.20.567,tripletExp_regina_11082022,2022.2.4,119.85540667586807,
9,2,12,0,0.444444444444444,1.0,0,0.25,0.298245614035088,0,0.027777777777778,3.10526315789474,ReadingArea_rsl0-rcl44-esl100-rsm0-rcm25-esm29-rsr0-rcr2-esr310,exr/ReadingArea_rsl0-rcl44-esl100-rsm0-rcm25-esm29-rsr0-rcr2-esr310.exr,ReadingArea_rsl0-rcl44-esl100-rsm0-rcm25-esm29-rsr0-rcr2-esr310.npz,,,,,0,7,7,391,,right,red,0.6,158.00212621688843,158.41659903526306,1,1,9,brightness,readingArea,realistic,75,2023-03-31_14h33.20.567,tripletExp_regina_11082022,2022.2.4,119.85540667586807,
14,12,10,0,0.25,3.10526315789474,0,0.027777777777778,3.10526315789474,0,0.694444444444444,1.0,ReadingArea_rsl0-rcl25-esl310-rsm0-rcm2-esm310-rsr0-rcr69-esr100,exr/ReadingArea_rsl0-rcl25-esl310-rsm0-rcm2-esm310-rsr0-rcr69-esr100.exr,ReadingArea_rsl0-rcl25-esl310-rsm0-rcm2-esm310-rsr0-rcr69-esr100.npz,,,,,0,8,8,331,,right,red,2.97,161.87335205078125,162.28455305099487,1,1,9,brightness,readingArea,realistic,75,2023-03-31_14h33.20.567,tripletExp_regina_11082022,2022.2.4,119.85540667586807,
6,5,11,0,0.027777777777778,1.0,0,1.0,0.298245614035088,0,1.0,1.0,ReadingArea_rsl0-rcl2-esl100-rsm0-rcm100-esm29-rsr0-rcr100-esr100,exr/ReadingArea_rsl0-rcl2-esl100-rsm0-rcm100-esm29-rsr0-rcr100-esr100.exr,ReadingArea_rsl0-rcl2-esl100-rsm0-rcm100-esm29-rsr0-rcr100-esr100.npz,,,,,0,9,9,289,,right,red,0.59,163.9815411567688,164.39219403266907,1,1,9,brightness,readingArea,realistic,75,2023-03-31_14h33.20.567,tripletExp_regina_11082022,2022.2.4,119.85540667586807,
