index_left,index_middle,index_right,reflectance_surround_left,reflectance_center_left,emission_spot_left,reflectance_surround_middle,reflectance_center_middle,emission_spot_middle,reflectance_surround_right,reflectance_center_right,emission_spot_right,ImageName,ImageExr,ImageNpy,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sound_1.started,BB_Trial.resp,BB_Trial.color,BB_Trial.rt,text.started,text.stopped,sound_2.started,block,sound_4.started,participant,session,L/B,scene,condition,nTrialsPerBlock,date,expName,psychopyVersion,frameRate,Unnamed: 42
2,3,4,0,0.25,0.298245614035088,0,0.444444444444444,0.298245614035088,0,0.694444444444444,0.298245614035088,ReadingArea_rsl0-rcl25-esl29-rsm0-rcm44-esm29-rsr0-rcr69-esr29,exr/ReadingArea_rsl0-rcl25-esl29-rsm0-rcm44-esm29-rsr0-rcr69-esr29.exr,ReadingArea_rsl0-rcl25-esl29-rsm0-rcm44-esm29-rsr0-rcr69-esr29.npz,,,,,0,0,0,61,141.39532673358917,right,red,1.14,149.55606389045715,150.1564588546753,127.0453315973282,1,,3,5,lightness,readingArea,realistic,75,2023-03-18_13h28.17.438,tripletExp_regina_11082022,2022.2.4,120.31818612109548,
13,1,4,0,0.111111111111111,3.10526315789474,0,0.111111111111111,0.298245614035088,0,0.694444444444444,0.298245614035088,ReadingArea_rsl0-rcl11-esl310-rsm0-rcm11-esm29-rsr0-rcr69-esr29,exr/ReadingArea_rsl0-rcl11-esl310-rsm0-rcm11-esm29-rsr0-rcr69-esr29.exr,ReadingArea_rsl0-rcl11-esl310-rsm0-rcm11-esm29-rsr0-rcr69-esr29.npz,,,,,0,1,1,396,,right,red,2.61,153.6231038570404,155.4968340396881,,1,,3,5,lightness,readingArea,realistic,75,2023-03-18_13h28.17.438,tripletExp_regina_11082022,2022.2.4,120.31818612109548,
0,13,12,0,0.027777777777778,0.298245614035088,0,0.111111111111111,3.10526315789474,0,0.027777777777778,3.10526315789474,ReadingArea_rsl0-rcl2-esl29-rsm0-rcm11-esm310-rsr0-rcr2-esr310,exr/ReadingArea_rsl0-rcl2-esl29-rsm0-rcm11-esm310-rsr0-rcr2-esr310.exr,ReadingArea_rsl0-rcl2-esl29-rsm0-rcm11-esm310-rsr0-rcr2-esr310.npz,,,,,0,2,2,501,,right,red,1.16,157.1982660293579,157.6571409702301,,1,,3,5,lightness,readingArea,realistic,75,2023-03-18_13h28.17.438,tripletExp_regina_11082022,2022.2.4,120.31818612109548,
12,9,2,0,0.027777777777778,3.10526315789474,0,0.444444444444444,1.0,0,0.25,0.298245614035088,ReadingArea_rsl0-rcl2-esl310-rsm0-rcm44-esm100-rsr0-rcr25-esr29,exr/ReadingArea_rsl0-rcl2-esl310-rsm0-rcm44-esm100-rsr0-rcr25-esr29.exr,ReadingArea_rsl0-rcl2-esl310-rsm0-rcm44-esm100-rsr0-rcr25-esr29.npz,,,,,0,3,3,226,,right,red,1.56,159.3634638786316,159.78665590286255,,1,,3,5,lightness,readingArea,realistic,75,2023-03-18_13h28.17.438,tripletExp_regina_11082022,2022.2.4,120.31818612109548,
10,1,13,0,0.694444444444444,1.0,0,0.111111111111111,0.298245614035088,0,0.111111111111111,3.10526315789474,ReadingArea_rsl0-rcl69-esl100-rsm0-rcm11-esm29-rsr0-rcr11-esr310,exr/ReadingArea_rsl0-rcl69-esl100-rsm0-rcm11-esm29-rsr0-rcr11-esr310.exr,ReadingArea_rsl0-rcl69-esl100-rsm0-rcm11-esm29-rsr0-rcr11-esr310.npz,,,,,0,4,4,45,,right,red,1.16,161.47743201255798,,,1,,3,5,lightness,readingArea,realistic,75,2023-03-18_13h28.17.438,tripletExp_regina_11082022,2022.2.4,120.31818612109548,
10,7,8,0,0.694444444444444,1.0,0,0.111111111111111,1.0,0,0.25,1.0,ReadingArea_rsl0-rcl69-esl100-rsm0-rcm11-esm100-rsr0-rcr25-esr100,exr/ReadingArea_rsl0-rcl69-esl100-rsm0-rcm11-esm100-rsr0-rcr25-esr100.exr,ReadingArea_rsl0-rcl69-esl100-rsm0-rcm11-esm100-rsr0-rcr25-esr100.npz,,,,,0,5,5,57,,right,red,0.74,163.59876489639282,164.16018295288086,,1,,3,5,lightness,readingArea,realistic,75,2023-03-18_13h28.17.438,tripletExp_regina_11082022,2022.2.4,120.31818612109548,
14,3,2,0,0.25,3.10526315789474,0,0.444444444444444,0.298245614035088,0,0.25,0.298245614035088,ReadingArea_rsl0-rcl25-esl310-rsm0-rcm44-esm29-rsr0-rcr25-esr29,exr/ReadingArea_rsl0-rcl25-esl310-rsm0-rcm44-esm29-rsr0-rcr25-esr29.exr,ReadingArea_rsl0-rcl25-esl310-rsm0-rcm44-esm29-rsr0-rcr25-esr29.npz,,,,,0,6,6,52,,right,red,1.02,165.84519004821777,166.28986382484436,,1,,3,5,lightness,readingArea,realistic,75,2023-03-18_13h28.17.438,tripletExp_regina_11082022,2022.2.4,120.31818612109548,
7,10,13,0,0.111111111111111,1.0,0,0.694444444444444,1.0,0,0.111111111111111,3.10526315789474,ReadingArea_rsl0-rcl11-esl100-rsm0-rcm69-esm100-rsr0-rcr11-esr310,exr/ReadingArea_rsl0-rcl11-esl100-rsm0-rcm69-esm100-rsr0-rcr11-esr310.exr,ReadingArea_rsl0-rcl11-esl100-rsm0-rcm69-esm100-rsr0-rcr11-esr310.npz,,,,,0,7,7,446,,right,red,0.86,167.98160696029663,168.42563605308533,,1,,3,5,lightness,readingArea,realistic,75,2023-03-18_13h28.17.438,tripletExp_regina_11082022,2022.2.4,120.31818612109548,
2,5,14,0,0.25,0.298245614035088,0,1.0,0.298245614035088,0,0.25,3.10526315789474,ReadingArea_rsl0-rcl25-esl29-rsm0-rcm100-esm29-rsr0-rcr25-esr310,exr/ReadingArea_rsl0-rcl25-esl29-rsm0-rcm100-esm29-rsr0-rcr25-esr310.exr,ReadingArea_rsl0-rcl25-esl29-rsm0-rcm100-esm29-rsr0-rcr25-esr310.npz,,,,,0,8,8,390,,right,red,1.59,170.14343690872192,170.59440803527832,,1,,3,5,lightness,readingArea,realistic,75,2023-03-18_13h28.17.438,tripletExp_regina_11082022,2022.2.4,120.31818612109548,
14,11,3,0,0.25,3.10526315789474,0,1.0,1.0,0,0.444444444444444,0.298245614035088,ReadingArea_rsl0-rcl25-esl310-rsm0-rcm100-esm100-rsr0-rcr44-esr29,exr/ReadingArea_rsl0-rcl25-esl310-rsm0-rcm100-esm100-rsr0-rcr44-esr29.exr,ReadingArea_rsl0-rcl25-esl310-rsm0-rcm100-esm100-rsr0-rcr44-esr29.npz,,,,,0,9,9,78,,left,green,0.87,172.28352403640747,172.71346998214722,,1,,3,5,lightness,readingArea,realistic,75,2023-03-18_13h28.17.438,tripletExp_regina_11082022,2022.2.4,120.31818612109548,
9,6,13,0,0.444444444444444,1.0,0,0.027777777777778,1.0,0,0.111111111111111,3.10526315789474,ReadingArea_rsl0-rcl44-esl100-rsm0-rcm2-esm100-rsr0-rcr11-esr310,exr/ReadingArea_rsl0-rcl44-esl100-rsm0-rcm2-esm100-rsr0-rcr11-esr310.exr,ReadingArea_rsl0-rcl44-esl100-rsm0-rcm2-esm100-rsr0-rcr11-esr310.npz,,,,,0,10,10,285,,right,red,2.76,176.18197989463806,176.674320936203,,1,,3,5,lightness,readingArea,realistic,75,2023-03-18_13h28.17.438,tripletExp_regina_11082022,2022.2.4,120.31818612109548,
2,1,3,0,0.25,0.298245614035088,0,0.111111111111111,0.298245614035088,0,0.444444444444444,0.298245614035088,ReadingArea_rsl0-rcl25-esl29-rsm0-rcm11-esm29-rsr0-rcr44-esr29,exr/ReadingArea_rsl0-rcl25-esl29-rsm0-rcm11-esm29-rsr0-rcr44-esr29.exr,ReadingArea_rsl0-rcl25-esl29-rsm0-rcm11-esm29-rsr0-rcr44-esr29.npz,,,,,0,11,11,85,,left,green,3.15,180.13850688934326,180.7300629615784,,1,,3,5,lightness,readingArea,realistic,75,2023-03-18_13h28.17.438,tripletExp_regina_11082022,2022.2.4,120.31818612109548,
6,11,3,0,0.027777777777778,1.0,0,1.0,1.0,0,0.444444444444444,0.298245614035088,ReadingArea_rsl0-rcl2-esl100-rsm0-rcm100-esm100-rsr0-rcr44-esr29,exr/ReadingArea_rsl0-rcl2-esl100-rsm0-rcm100-esm100-rsr0-rcr44-esr29.exr,ReadingArea_rsl0-rcl2-esl100-rsm0-rcm100-esm100-rsr0-rcr44-esr29.npz,,,,,0,12,12,11,,right,red,1.68,182.406790971756,182.87504196166992,,1,,3,5,lightness,readingArea,realistic,75,2023-03-18_13h28.17.438,tripletExp_regina_11082022,2022.2.4,120.31818612109548,
1,5,8,0,0.111111111111111,0.298245614035088,0,1.0,0.298245614035088,0,0.25,1.0,ReadingArea_rsl0-rcl11-esl29-rsm0-rcm100-esm29-rsr0-rcr25-esr100,exr/ReadingArea_rsl0-rcl11-esl29-rsm0-rcm100-esm29-rsr0-rcr25-esr100.exr,ReadingArea_rsl0-rcl11-esl29-rsm0-rcm100-esm29-rsr0-rcr25-esr100.npz,,,,,0,13,13,238,,right,red,1.22,184.5767178535461,185.0284378528595,,1,,3,5,lightness,readingArea,realistic,75,2023-03-18_13h28.17.438,tripletExp_regina_11082022,2022.2.4,120.31818612109548,
