index_left,index_middle,index_right,reflectance_surround_left,reflectance_center_left,emission_spot_left,reflectance_surround_middle,reflectance_center_middle,emission_spot_middle,reflectance_surround_right,reflectance_center_right,emission_spot_right,ImageName,ImageExr,ImageNpy,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sound_1.started,sound_1.stopped,BB_Trial.resp,BB_Trial.color,BB_Trial.rt,text.started,text.stopped,block,sound_4.started,participant,session,L/B,scene,condition,nTrialsPerBlock,date,expName,psychopyVersion,frameRate,Unnamed: 42
12,8,6,2,0.027777777777778,3.10526315789474,2,0.25,1.0,2,0.027777777777778,1.0,ReadingArea_rsl2-rcl2-esl310-rsm2-rcm25-esm100-rsr2-rcr2-esr100,exr/ReadingArea_rsl2-rcl2-esl310-rsm2-rcm25-esm100-rsr2-rcr2-esr100.exr,ReadingArea_rsl2-rcl2-esl310-rsm2-rcm25-esm100-rsr2-rcr2-esr100.npz,,,,,0,0,0,281,149.8159815311432,129.44859409332275,left,green,2.64,162.21210408210754,150.68429803848267,1,,4,2,lightness,readingArea,realistic,75,2023-03-20_13h20.31.581,tripletExp_regina_11082022,2022.2.4,120.44256707280304,
9,12,11,2,0.444444444444444,1.0,2,0.027777777777778,3.10526315789474,2,1.0,1.0,ReadingArea_rsl2-rcl44-esl100-rsm2-rcm2-esm310-rsr2-rcr100-esr100,exr/ReadingArea_rsl2-rcl44-esl100-rsm2-rcm2-esm310-rsr2-rcr100-esr100.exr,ReadingArea_rsl2-rcl44-esl100-rsm2-rcm2-esm310-rsr2-rcr100-esr100.npz,,,,,0,1,1,144,,,left,green,2.46,166.11459612846377,166.50664401054382,1,,4,2,lightness,readingArea,realistic,75,2023-03-20_13h20.31.581,tripletExp_regina_11082022,2022.2.4,120.44256707280304,
4,1,9,2,0.694444444444444,0.298245614035088,2,0.111111111111111,0.298245614035088,2,0.444444444444444,1.0,ReadingArea_rsl2-rcl69-esl29-rsm2-rcm11-esm29-rsr2-rcr44-esr100,exr/ReadingArea_rsl2-rcl69-esl29-rsm2-rcm11-esm29-rsr2-rcr44-esr100.exr,ReadingArea_rsl2-rcl69-esl29-rsm2-rcm11-esm29-rsr2-rcr44-esr100.npz,,,,,0,2,2,7,,,left,green,2.85,169.9836699962616,170.3363540172577,1,,4,2,lightness,readingArea,realistic,75,2023-03-20_13h20.31.581,tripletExp_regina_11082022,2022.2.4,120.44256707280304,
11,6,14,2,1.0,1.0,2,0.027777777777778,1.0,2,0.25,3.10526315789474,ReadingArea_rsl2-rcl100-esl100-rsm2-rcm2-esm100-rsr2-rcr25-esr310,exr/ReadingArea_rsl2-rcl100-esl100-rsm2-rcm2-esm100-rsr2-rcr25-esr310.exr,ReadingArea_rsl2-rcl100-esl100-rsm2-rcm2-esm100-rsr2-rcr25-esr310.npz,,,,,0,3,3,305,,,right,red,2.93,173.80472111701965,,1,,4,2,lightness,readingArea,realistic,75,2023-03-20_13h20.31.581,tripletExp_regina_11082022,2022.2.4,120.44256707280304,
11,5,2,2,1.0,1.0,2,1.0,0.298245614035088,2,0.25,0.298245614035088,ReadingArea_rsl2-rcl100-esl100-rsm2-rcm100-esm29-rsr2-rcr25-esr29,exr/ReadingArea_rsl2-rcl100-esl100-rsm2-rcm100-esm29-rsr2-rcr25-esr29.exr,ReadingArea_rsl2-rcl100-esl100-rsm2-rcm100-esm29-rsr2-rcr25-esr29.npz,,,,,0,4,4,596,,,right,red,1.9,177.6349699497223,177.98421001434326,1,,4,2,lightness,readingArea,realistic,75,2023-03-20_13h20.31.581,tripletExp_regina_11082022,2022.2.4,120.44256707280304,
1,7,2,2,0.111111111111111,0.298245614035088,2,0.111111111111111,1.0,2,0.25,0.298245614035088,ReadingArea_rsl2-rcl11-esl29-rsm2-rcm11-esm100-rsr2-rcr25-esr29,exr/ReadingArea_rsl2-rcl11-esl29-rsm2-rcm11-esm100-rsr2-rcr25-esr29.exr,ReadingArea_rsl2-rcl11-esl29-rsm2-rcm11-esm100-rsr2-rcr25-esr29.npz,,,,,0,5,5,162,,,right,red,1.85,181.4593520164489,181.84777903556824,1,,4,2,lightness,readingArea,realistic,75,2023-03-20_13h20.31.581,tripletExp_regina_11082022,2022.2.4,120.44256707280304,
6,5,13,2,0.027777777777778,1.0,2,1.0,0.298245614035088,2,0.111111111111111,3.10526315789474,ReadingArea_rsl2-rcl2-esl100-rsm2-rcm100-esm29-rsr2-rcr11-esr310,exr/ReadingArea_rsl2-rcl2-esl100-rsm2-rcm100-esm29-rsr2-rcr11-esr310.exr,ReadingArea_rsl2-rcl2-esl100-rsm2-rcm100-esm29-rsr2-rcr11-esr310.npz,,,,,0,6,6,450,,,right,red,2.16,185.29270601272583,185.6492171287537,1,,4,2,lightness,readingArea,realistic,75,2023-03-20_13h20.31.581,tripletExp_regina_11082022,2022.2.4,120.44256707280304,
10,14,13,2,0.694444444444444,1.0,2,0.25,3.10526315789474,2,0.111111111111111,3.10526315789474,ReadingArea_rsl2-rcl69-esl100-rsm2-rcm25-esm310-rsr2-rcr11-esr310,exr/ReadingArea_rsl2-rcl69-esl100-rsm2-rcm25-esm310-rsr2-rcr11-esr310.exr,ReadingArea_rsl2-rcl69-esl100-rsm2-rcm25-esm310-rsr2-rcr11-esr310.npz,,,,,0,7,7,168,,,left,green,2.56,189.14305901527405,189.5168390274048,1,,4,2,lightness,readingArea,realistic,75,2023-03-20_13h20.31.581,tripletExp_regina_11082022,2022.2.4,120.44256707280304,
10,7,13,2,0.694444444444444,1.0,2,0.111111111111111,1.0,2,0.111111111111111,3.10526315789474,ReadingArea_rsl2-rcl69-esl100-rsm2-rcm11-esm100-rsr2-rcr11-esr310,exr/ReadingArea_rsl2-rcl69-esl100-rsm2-rcm11-esm100-rsr2-rcr11-esr310.exr,ReadingArea_rsl2-rcl69-esl100-rsm2-rcm11-esm100-rsr2-rcr11-esr310.npz,,,,,0,8,8,379,,,right,red,2.66,192.99275302886963,193.3463990688324,1,,4,2,lightness,readingArea,realistic,75,2023-03-20_13h20.31.581,tripletExp_regina_11082022,2022.2.4,120.44256707280304,
2,11,14,2,0.25,0.298245614035088,2,1.0,1.0,2,0.25,3.10526315789474,ReadingArea_rsl2-rcl25-esl29-rsm2-rcm100-esm100-rsr2-rcr25-esr310,exr/ReadingArea_rsl2-rcl25-esl29-rsm2-rcm100-esm100-rsr2-rcr25-esr310.exr,ReadingArea_rsl2-rcl25-esl29-rsm2-rcm100-esm100-rsr2-rcr25-esr310.npz,,,,,0,9,9,534,,,right,red,2.22,196.8389859199524,197.19781112670896,1,,4,2,lightness,readingArea,realistic,75,2023-03-20_13h20.31.581,tripletExp_regina_11082022,2022.2.4,120.44256707280304,
