index_left,index_middle,index_right,reflectance_surround_left,reflectance_center_left,emission_spot_left,reflectance_surround_middle,reflectance_center_middle,emission_spot_middle,reflectance_surround_right,reflectance_center_right,emission_spot_right,ImageName,ImageExr,ImageNpy,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sound_1.started,BB_Trial.resp,BB_Trial.color,BB_Trial.rt,text.started,text.stopped,sound_2.started,sound_1.stopped,block,participant,session,L/B,scene,condition,nTrialsPerBlock,date,expName,psychopyVersion,frameRate,Unnamed: 42
14,13,0,0,0.25,3.10526315789474,0,0.111111111111111,3.10526315789474,0,0.027777777777778,0.298245614035088,ReadingArea_rsl0-rcl25-esl310-rsm0-rcm11-esm310-rsr0-rcr2-esr29,exr/ReadingArea_rsl0-rcl25-esl310-rsm0-rcm11-esm310-rsr0-rcr2-esr29.exr,ReadingArea_rsl0-rcl25-esl310-rsm0-rcm11-esm310-rsr0-rcr2-esr29.npz,,,,,0,0,0,417,182.5390058279037,left,green,0.82,197.20636320114136,197.56623721122745,120.18466289043428,168.9357030391693,1,PM,1,lightness,readingArea,realistic,75,2023-03-13_14h30.10.942,tripletExp_regina_11082022,2022.2.4,119.67313398767403,
3,9,13,0,0.444444444444444,0.298245614035088,0,0.444444444444444,1.0,0,0.111111111111111,3.10526315789474,ReadingArea_rsl0-rcl44-esl29-rsm0-rcm44-esm100-rsr0-rcr11-esr310,exr/ReadingArea_rsl0-rcl44-esl29-rsm0-rcm44-esm100-rsr0-rcr11-esr310.exr,ReadingArea_rsl0-rcl44-esl29-rsm0-rcm44-esm100-rsr0-rcr11-esr310.npz,,,,,0,1,1,341,,right,red,0.7,199.25760912895203,199.707102060318,,,1,PM,1,lightness,readingArea,realistic,75,2023-03-13_14h30.10.942,tripletExp_regina_11082022,2022.2.4,119.67313398767403,
3,6,5,0,0.444444444444444,0.298245614035088,0,0.027777777777778,1.0,0,1.0,0.298245614035088,ReadingArea_rsl0-rcl44-esl29-rsm0-rcm2-esm100-rsr0-rcr100-esr29,exr/ReadingArea_rsl0-rcl44-esl29-rsm0-rcm2-esm100-rsr0-rcr100-esr29.exr,ReadingArea_rsl0-rcl44-esl29-rsm0-rcm2-esm100-rsr0-rcr100-esr29.npz,,,,,0,2,2,274,,left,green,0.99,201.4044890403748,201.7523431777954,,,1,PM,1,lightness,readingArea,realistic,75,2023-03-13_14h30.10.942,tripletExp_regina_11082022,2022.2.4,119.67313398767403,
0,9,11,0,0.027777777777778,0.298245614035088,0,0.444444444444444,1.0,0,1.0,1.0,ReadingArea_rsl0-rcl2-esl29-rsm0-rcm44-esm100-rsr0-rcr100-esr100,exr/ReadingArea_rsl0-rcl2-esl29-rsm0-rcm44-esm100-rsr0-rcr100-esr100.exr,ReadingArea_rsl0-rcl2-esl29-rsm0-rcm44-esm100-rsr0-rcr100-esr100.npz,,,,,0,3,3,448,,right,red,0.78,203.46248316764832,203.80995321273804,,,1,PM,1,lightness,readingArea,realistic,75,2023-03-13_14h30.10.942,tripletExp_regina_11082022,2022.2.4,119.67313398767403,
12,13,14,0,0.027777777777778,3.10526315789474,0,0.111111111111111,3.10526315789474,0,0.25,3.10526315789474,ReadingArea_rsl0-rcl2-esl310-rsm0-rcm11-esm310-rsr0-rcr25-esr310,exr/ReadingArea_rsl0-rcl2-esl310-rsm0-rcm11-esm310-rsr0-rcr25-esr310.exr,ReadingArea_rsl0-rcl2-esl310-rsm0-rcm11-esm310-rsr0-rcr25-esr310.npz,,,,,0,4,4,208,,right,red,0.95,205.51280903816223,205.91431307792664,,,1,PM,1,lightness,readingArea,realistic,75,2023-03-13_14h30.10.942,tripletExp_regina_11082022,2022.2.4,119.67313398767403,
2,4,6,0,0.25,0.298245614035088,0,0.694444444444444,0.298245614035088,0,0.027777777777778,1.0,ReadingArea_rsl0-rcl25-esl29-rsm0-rcm69-esm29-rsr0-rcr2-esr100,exr/ReadingArea_rsl0-rcl25-esl29-rsm0-rcm69-esm29-rsr0-rcr2-esr100.exr,ReadingArea_rsl0-rcl25-esl29-rsm0-rcm69-esm29-rsr0-rcr2-esr100.npz,,,,,0,5,5,563,,left,green,0.81,207.61817717552185,207.9638700485229,,,1,PM,1,lightness,readingArea,realistic,75,2023-03-13_14h30.10.942,tripletExp_regina_11082022,2022.2.4,119.67313398767403,
9,2,12,0,0.444444444444444,1.0,0,0.25,0.298245614035088,0,0.027777777777778,3.10526315789474,ReadingArea_rsl0-rcl44-esl100-rsm0-rcm25-esm29-rsr0-rcr2-esr310,exr/ReadingArea_rsl0-rcl44-esl100-rsm0-rcm25-esm29-rsr0-rcr2-esr310.exr,ReadingArea_rsl0-rcl44-esl100-rsm0-rcm25-esm29-rsr0-rcr2-esr310.npz,,,,,0,6,6,391,,right,red,0.85,209.6566231250763,210.03078603744507,,,1,PM,1,lightness,readingArea,realistic,75,2023-03-13_14h30.10.942,tripletExp_regina_11082022,2022.2.4,119.67313398767403,
11,0,10,0,1.0,1.0,0,0.027777777777778,0.298245614035088,0,0.694444444444444,1.0,ReadingArea_rsl0-rcl100-esl100-rsm0-rcm2-esm29-rsr0-rcr69-esr100,exr/ReadingArea_rsl0-rcl100-esl100-rsm0-rcm2-esm29-rsr0-rcr69-esr100.exr,ReadingArea_rsl0-rcl100-esl100-rsm0-rcm2-esm29-rsr0-rcr69-esr100.npz,,,,,0,7,7,259,,right,red,2.73,213.50646114349365,213.8605220317841,,,1,PM,1,lightness,readingArea,realistic,75,2023-03-13_14h30.10.942,tripletExp_regina_11082022,2022.2.4,119.67313398767403,
1,11,12,0,0.111111111111111,0.298245614035088,0,1.0,1.0,0,0.027777777777778,3.10526315789474,ReadingArea_rsl0-rcl11-esl29-rsm0-rcm100-esm100-rsr0-rcr2-esr310,exr/ReadingArea_rsl0-rcl11-esl29-rsm0-rcm100-esm100-rsr0-rcr2-esr310.exr,ReadingArea_rsl0-rcl11-esl29-rsm0-rcm100-esm100-rsr0-rcr2-esr310.npz,,,,,0,8,8,288,,right,red,0.98,215.56863713264465,215.8900611400604,,,1,PM,1,lightness,readingArea,realistic,75,2023-03-13_14h30.10.942,tripletExp_regina_11082022,2022.2.4,119.67313398767403,
13,7,6,0,0.111111111111111,3.10526315789474,0,0.111111111111111,1.0,0,0.027777777777778,1.0,ReadingArea_rsl0-rcl11-esl310-rsm0-rcm11-esm100-rsr0-rcr2-esr100,exr/ReadingArea_rsl0-rcl11-esl310-rsm0-rcm11-esm100-rsr0-rcr2-esr100.exr,ReadingArea_rsl0-rcl11-esl310-rsm0-rcm11-esm100-rsr0-rcr2-esr100.npz,,,,,0,9,9,283,,left,green,0.79,217.58874106407168,217.94071912765503,,,1,PM,1,lightness,readingArea,realistic,75,2023-03-13_14h30.10.942,tripletExp_regina_11082022,2022.2.4,119.67313398767403,
3,4,13,0,0.444444444444444,0.298245614035088,0,0.694444444444444,0.298245614035088,0,0.111111111111111,3.10526315789474,ReadingArea_rsl0-rcl44-esl29-rsm0-rcm69-esm29-rsr0-rcr11-esr310,exr/ReadingArea_rsl0-rcl44-esl29-rsm0-rcm69-esm29-rsr0-rcr11-esr310.exr,ReadingArea_rsl0-rcl44-esl29-rsm0-rcm69-esm29-rsr0-rcr11-esr310.npz,,,,,0,10,10,63,,left,green,1.21,219.6498601436615,219.9974000453949,,,1,PM,1,lightness,readingArea,realistic,75,2023-03-13_14h30.10.942,tripletExp_regina_11082022,2022.2.4,119.67313398767403,
