reflectance_center,emission_spot,grey_value
0.027777777777778,0.298245614035088,0.00828460038
0.111111111111111,0.298245614035088,0.03313840155
0.25,0.298245614035088,0.0745614035
0.444444444444444,0.298245614035088,0.13255360623
0.694444444444444,0.298245614035088,0.20711500974
1,0.298245614035088,0.298245614035088
0.027777777777778,1,0.027777777777778
0.111111111111111,1,0.111111111111111
0.25,1,0.25
0.444444444444444,1,0.444444444444444
0.694444444444444,1,0.694444444444444
1,1,1
0.027777777777778,3.10526315789474,0.08625730994
0.111111111111111,3.10526315789474,0.34502923976
0.25,3.10526315789474,0.77631578947

