index_left,index_middle,index_right,reflectance_surround_left,reflectance_center_left,emission_spot_left,reflectance_surround_middle,reflectance_center_middle,emission_spot_middle,reflectance_surround_right,reflectance_center_right,emission_spot_right,ImageName,ImageExr,ImageNpy,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sound_1.started,BB_Trial.resp,BB_Trial.color,BB_Trial.rt,text.started,text.stopped,block,participant,session,L/B,scene,condition,nTrialsPerBlock,date,expName,psychopyVersion,frameRate,Unnamed: 40
8,3,9,0,0.25,1.0,0,0.444444444444444,0.298245614035088,0,0.444444444444444,1.0,ReadingArea_rsl0-rcl25-esl100-rsm0-rcm44-esm29-rsr0-rcr44-esr100,exr/ReadingArea_rsl0-rcl25-esl100-rsm0-rcm44-esm29-rsr0-rcr44-esr100.exr,ReadingArea_rsl0-rcl25-esl100-rsm0-rcm44-esm29-rsr0-rcr44-esr100.npz,,,,,0,0,0,15,55.88726785182953,left,green,1.06,60.12468791007996,57.30500292778015,1,1,7,lightness,readingArea,realistic,75,2023-03-25_14h03.26.258,tripletExp_regina_11082022,2022.2.4,120.4152503445108,
2,3,9,0,0.25,0.298245614035088,0,0.444444444444444,0.298245614035088,0,0.444444444444444,1.0,ReadingArea_rsl0-rcl25-esl29-rsm0-rcm44-esm29-rsr0-rcr44-esr100,exr/ReadingArea_rsl0-rcl25-esl29-rsm0-rcm44-esm29-rsr0-rcr44-esr100.exr,ReadingArea_rsl0-rcl25-esl29-rsm0-rcm44-esm29-rsr0-rcr44-esr100.npz,,,,,0,1,1,190,,left,green,3.17,64.13178491592407,64.7794828414917,1,1,7,lightness,readingArea,realistic,75,2023-03-25_14h03.26.258,tripletExp_regina_11082022,2022.2.4,120.4152503445108,
10,11,9,0,0.694444444444444,1.0,0,1.0,1.0,0,0.444444444444444,1.0,ReadingArea_rsl0-rcl69-esl100-rsm0-rcm100-esm100-rsr0-rcr44-esr100,exr/ReadingArea_rsl0-rcl69-esl100-rsm0-rcm100-esm100-rsr0-rcr44-esr100.exr,ReadingArea_rsl0-rcl69-esl100-rsm0-rcm100-esm100-rsr0-rcr44-esr100.npz,,,,,0,2,2,492,,left,green,1.07,66.48924899101257,66.96188187599182,1,1,7,lightness,readingArea,realistic,75,2023-03-25_14h03.26.258,tripletExp_regina_11082022,2022.2.4,120.4152503445108,
4,3,10,0,0.694444444444444,0.298245614035088,0,0.444444444444444,0.298245614035088,0,0.694444444444444,1.0,ReadingArea_rsl0-rcl69-esl29-rsm0-rcm44-esm29-rsr0-rcr69-esr100,exr/ReadingArea_rsl0-rcl69-esl29-rsm0-rcm44-esm29-rsr0-rcr69-esr100.exr,ReadingArea_rsl0-rcl69-esl29-rsm0-rcm44-esm29-rsr0-rcr69-esr100.npz,,,,,0,3,3,371,,left,green,0.74,68.67557096481323,69.13437485694885,1,1,7,lightness,readingArea,realistic,75,2023-03-25_14h03.26.258,tripletExp_regina_11082022,2022.2.4,120.4152503445108,
13,8,5,0,0.111111111111111,3.10526315789474,0,0.25,1.0,0,1.0,0.298245614035088,ReadingArea_rsl0-rcl11-esl310-rsm0-rcm25-esm100-rsr0-rcr100-esr29,exr/ReadingArea_rsl0-rcl11-esl310-rsm0-rcm25-esm100-rsr0-rcr100-esr29.exr,ReadingArea_rsl0-rcl11-esl310-rsm0-rcm25-esm100-rsr0-rcr100-esr29.npz,,,,,0,4,4,209,,left,green,0.99,70.83915996551514,71.29213285446167,1,1,7,lightness,readingArea,realistic,75,2023-03-25_14h03.26.258,tripletExp_regina_11082022,2022.2.4,120.4152503445108,
9,11,6,0,0.444444444444444,1.0,0,1.0,1.0,0,0.027777777777778,1.0,ReadingArea_rsl0-rcl44-esl100-rsm0-rcm100-esm100-rsr0-rcr2-esr100,exr/ReadingArea_rsl0-rcl44-esl100-rsm0-rcm100-esm100-rsr0-rcr2-esr100.exr,ReadingArea_rsl0-rcl44-esl100-rsm0-rcm100-esm100-rsr0-rcr2-esr100.npz,,,,,0,5,5,404,,left,green,0.7,72.99114799499512,73.44410586357117,1,1,7,lightness,readingArea,realistic,75,2023-03-25_14h03.26.258,tripletExp_regina_11082022,2022.2.4,120.4152503445108,
6,10,8,0,0.027777777777778,1.0,0,0.694444444444444,1.0,0,0.25,1.0,ReadingArea_rsl0-rcl2-esl100-rsm0-rcm69-esm100-rsr0-rcr25-esr100,exr/ReadingArea_rsl0-rcl2-esl100-rsm0-rcm69-esm100-rsr0-rcr25-esr100.exr,ReadingArea_rsl0-rcl2-esl100-rsm0-rcm69-esm100-rsr0-rcr25-esr100.npz,,,,,0,6,6,167,,right,red,0.73,75.16699194908142,,1,1,7,lightness,readingArea,realistic,75,2023-03-25_14h03.26.258,tripletExp_regina_11082022,2022.2.4,120.4152503445108,
14,8,2,0,0.25,3.10526315789474,0,0.25,1.0,0,0.25,0.298245614035088,ReadingArea_rsl0-rcl25-esl310-rsm0-rcm25-esm100-rsr0-rcr25-esr29,exr/ReadingArea_rsl0-rcl25-esl310-rsm0-rcm25-esm100-rsr0-rcr25-esr29.exr,ReadingArea_rsl0-rcl25-esl310-rsm0-rcm25-esm100-rsr0-rcr25-esr29.npz,,,,,0,7,7,251,,right,red,0.99,77.349191904068,77.82809901237488,1,1,7,lightness,readingArea,realistic,75,2023-03-25_14h03.26.258,tripletExp_regina_11082022,2022.2.4,120.4152503445108,
7,9,8,0,0.111111111111111,1.0,0,0.444444444444444,1.0,0,0.25,1.0,ReadingArea_rsl0-rcl11-esl100-rsm0-rcm44-esm100-rsr0-rcr25-esr100,exr/ReadingArea_rsl0-rcl11-esl100-rsm0-rcm44-esm100-rsr0-rcr25-esr100.exr,ReadingArea_rsl0-rcl11-esl100-rsm0-rcm44-esm100-rsr0-rcr25-esr100.npz,,,,,0,8,8,515,,right,red,0.89,79.53658103942871,79.97765588760376,1,1,7,lightness,readingArea,realistic,75,2023-03-25_14h03.26.258,tripletExp_regina_11082022,2022.2.4,120.4152503445108,
2,8,4,0,0.25,0.298245614035088,0,0.25,1.0,0,0.694444444444444,0.298245614035088,ReadingArea_rsl0-rcl25-esl29-rsm0-rcm25-esm100-rsr0-rcr69-esr29,exr/ReadingArea_rsl0-rcl25-esl29-rsm0-rcm25-esm100-rsr0-rcr69-esr29.exr,ReadingArea_rsl0-rcl25-esl29-rsm0-rcm25-esm100-rsr0-rcr69-esr29.npz,,,,,0,9,9,507,,right,red,0.91,81.6980299949646,82.22975301742554,1,1,7,lightness,readingArea,realistic,75,2023-03-25_14h03.26.258,tripletExp_regina_11082022,2022.2.4,120.4152503445108,
