index_left,index_middle,index_right,reflectance_surround_left,reflectance_center_left,emission_spot_left,reflectance_surround_middle,reflectance_center_middle,emission_spot_middle,reflectance_surround_right,reflectance_center_right,emission_spot_right,ImageName,ImageExr,ImageNpy,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sound_1.started,BB_Trial.resp,BB_Trial.color,BB_Trial.rt,text.started,text.stopped,sound_1.stopped,block,sound_4.started,participant,session,L/B,scene,condition,nTrialsPerBlock,date,expName,psychopyVersion,frameRate
13,6,5,0,0.111111111111111,3.10526315789474,0,0.027777777777778,1.0,0,1.0,0.298245614035088,ReadingArea_rsl2-rcl11-esl310-rsm2-rcm2-esm100-rsr2-rcr100-esr29,exr/ReadingArea_rsl2-rcl11-esl310-rsm2-rcm2-esm100-rsr2-rcr100-esr29.exr,ReadingArea_rsl2-rcl11-esl310-rsm2-rcm2-esm100-rsr2-rcr100-esr29.npz,,,,,0,0,0,19,107.353307700157,left,green,3.27,117.627750873566,118.027228832245,87.6253769397736,1,,AS,2,lightness,readingArea,mean,72,2023-03-10_14h54.01.506,tripletExp_regina_11082022,2022.2.4,120.183729666381
3,12,2,0,0.444444444444444,0.298245614035088,0,0.027777777777778,3.10526315789474,0,0.25,0.298245614035088,ReadingArea_rsl2-rcl44-esl29-rsm2-rcm2-esm310-rsr2-rcr25-esr29,exr/ReadingArea_rsl2-rcl44-esl29-rsm2-rcm2-esm310-rsr2-rcr25-esr29.exr,ReadingArea_rsl2-rcl44-esl29-rsm2-rcm2-esm310-rsr2-rcr25-esr29.npz,,,,,0,1,1,338,,left,green,2.8,121.474225044251,121.790827035904,,1,,AS,2,lightness,readingArea,mean,72,2023-03-10_14h54.01.506,tripletExp_regina_11082022,2022.2.4,120.183729666381
2,11,9,0,0.25,0.298245614035088,0,1.0,1.0,0,0.444444444444444,1.0,ReadingArea_rsl2-rcl25-esl29-rsm2-rcm100-esm100-rsr2-rcr44-esr100,exr/ReadingArea_rsl2-rcl25-esl29-rsm2-rcm100-esm100-rsr2-rcr44-esr100.exr,ReadingArea_rsl2-rcl25-esl29-rsm2-rcm100-esm100-rsr2-rcr44-esr100.npz,,,,,0,2,2,493,,right,red,1.21,123.507489919662,123.880117893219,,1,,AS,2,lightness,readingArea,mean,72,2023-03-10_14h54.01.506,tripletExp_regina_11082022,2022.2.4,120.183729666381
10,5,13,0,0.694444444444444,1.0,0,1.0,0.298245614035088,0,0.111111111111111,3.10526315789474,ReadingArea_rsl2-rcl69-esl100-rsm2-rcm100-esm29-rsr2-rcr11-esr310,exr/ReadingArea_rsl2-rcl69-esl100-rsm2-rcm100-esm29-rsr2-rcr11-esr310.exr,ReadingArea_rsl2-rcl69-esl100-rsm2-rcm100-esm29-rsr2-rcr11-esr310.npz,,,,,0,3,3,71,,right,red,1.25,125.600354909897,125.933117866516,,1,,AS,2,lightness,readingArea,mean,72,2023-03-10_14h54.01.506,tripletExp_regina_11082022,2022.2.4,120.183729666381
7,8,3,0,0.111111111111111,1.0,0,0.25,1.0,0,0.444444444444444,0.298245614035088,ReadingArea_rsl2-rcl11-esl100-rsm2-rcm25-esm100-rsr2-rcr44-esr29,exr/ReadingArea_rsl2-rcl11-esl100-rsm2-rcm25-esm100-rsr2-rcr44-esr29.exr,ReadingArea_rsl2-rcl11-esl100-rsm2-rcm25-esm100-rsr2-rcr44-esr29.npz,,,,,0,4,4,271,,right,red,1.41,127.64333486557,127.991147994995,,1,,AS,2,lightness,readingArea,mean,72,2023-03-10_14h54.01.506,tripletExp_regina_11082022,2022.2.4,120.183729666381
3,11,2,0,0.444444444444444,0.298245614035088,0,1.0,1.0,0,0.25,0.298245614035088,ReadingArea_rsl2-rcl44-esl29-rsm2-rcm100-esm100-rsr2-rcr25-esr29,exr/ReadingArea_rsl2-rcl44-esl29-rsm2-rcm100-esm100-rsr2-rcr25-esr29.exr,ReadingArea_rsl2-rcl44-esl29-rsm2-rcm100-esm100-rsr2-rcr25-esr29.npz,,,,,0,5,5,190,,left,green,1.31,129.689800977707,,,1,,AS,2,lightness,readingArea,mean,72,2023-03-10_14h54.01.506,tripletExp_regina_11082022,2022.2.4,120.183729666381
0,11,13,0,0.027777777777778,0.298245614035088,0,1.0,1.0,0,0.111111111111111,3.10526315789474,ReadingArea_rsl2-rcl2-esl29-rsm2-rcm100-esm100-rsr2-rcr11-esr310,exr/ReadingArea_rsl2-rcl2-esl29-rsm2-rcm100-esm100-rsr2-rcr11-esr310.exr,ReadingArea_rsl2-rcl2-esl29-rsm2-rcm100-esm100-rsr2-rcr11-esr310.npz,,,,,0,6,6,296,,right,red,1.15,131.723400831223,,,1,,AS,2,lightness,readingArea,mean,72,2023-03-10_14h54.01.506,tripletExp_regina_11082022,2022.2.4,120.183729666381
5,2,12,0,1.0,0.298245614035088,0,0.25,0.298245614035088,0,0.027777777777778,3.10526315789474,ReadingArea_rsl2-rcl100-esl29-rsm2-rcm25-esm29-rsr2-rcr2-esr310,exr/ReadingArea_rsl2-rcl100-esl29-rsm2-rcm25-esm29-rsr2-rcr2-esr310.exr,ReadingArea_rsl2-rcl100-esl29-rsm2-rcm25-esm29-rsr2-rcr2-esr310.npz,,,,,0,7,7,475,,right,red,1.09,133.75608086586,134.172323942184,,1,,AS,2,lightness,readingArea,mean,72,2023-03-10_14h54.01.506,tripletExp_regina_11082022,2022.2.4,120.183729666381
5,6,0,0,1.0,0.298245614035088,0,0.027777777777778,1.0,0,0.027777777777778,0.298245614035088,ReadingArea_rsl2-rcl100-esl29-rsm2-rcm2-esm100-rsr2-rcr2-esr29,exr/ReadingArea_rsl2-rcl100-esl29-rsm2-rcm2-esm100-rsr2-rcr2-esr29.exr,ReadingArea_rsl2-rcl100-esl29-rsm2-rcm2-esm100-rsr2-rcr2-esr29.npz,,,,,0,8,8,67,,right,red,3.15,137.621912956238,137.962498903275,,1,,AS,2,lightness,readingArea,mean,72,2023-03-10_14h54.01.506,tripletExp_regina_11082022,2022.2.4,120.183729666381
2,7,10,0,0.25,0.298245614035088,0,0.111111111111111,1.0,0,0.694444444444444,1.0,ReadingArea_rsl2-rcl25-esl29-rsm2-rcm11-esm100-rsr2-rcr69-esr100,exr/ReadingArea_rsl2-rcl25-esl29-rsm2-rcm11-esm100-rsr2-rcr69-esr100.exr,ReadingArea_rsl2-rcl25-esl29-rsm2-rcm11-esm100-rsr2-rcr69-esr100.npz,,,,,0,9,9,423,,left,green,1.23,139.672312021256,140.103410959244,,1,,AS,2,lightness,readingArea,mean,72,2023-03-10_14h54.01.506,tripletExp_regina_11082022,2022.2.4,120.183729666381
