index_left,index_middle,index_right,reflectance_surround_left,reflectance_center_left,emission_spot_left,reflectance_surround_middle,reflectance_center_middle,emission_spot_middle,reflectance_surround_right,reflectance_center_right,emission_spot_right,ImageName,ImageExr,ImageNpy,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sound_1.started,BB_Trial.resp,BB_Trial.color,BB_Trial.rt,text.started,text.stopped,block,sound_4.started,participant,session,L/B,scene,condition,nTrialsPerBlock,date,expName,psychopyVersion,frameRate,
4,3,9,2,0.694444444444444,0.298245614035088,2,0.444444444444444,0.298245614035088,2,0.444444444444444,1.0,ReadingArea_rsl2-rcl69-esl29-rsm2-rcm44-esm29-rsr2-rcr44-esr100,exr/ReadingArea_rsl2-rcl69-esl29-rsm2-rcm44-esm29-rsr2-rcr44-esr100.exr,ReadingArea_rsl2-rcl69-esl29-rsm2-rcm44-esm29-rsr2-rcr44-esr100.npz,,,,,0,0,0,451,235.38288559913636,left,green,4.3,263.2027440071106,263.6661961078644,1,,2,8,lightness,readingArea,realistic,75,2023-03-27_15h15.16.774,tripletExp_regina_11082022,2022.2.4,119.88109937348517,
14,4,8,2,0.25,3.10526315789474,2,0.694444444444444,0.298245614035088,2,0.25,1.0,ReadingArea_rsl2-rcl25-esl310-rsm2-rcm69-esm29-rsr2-rcr25-esr100,exr/ReadingArea_rsl2-rcl25-esl310-rsm2-rcm69-esm29-rsr2-rcr25-esr100.exr,ReadingArea_rsl2-rcl25-esl310-rsm2-rcm69-esm29-rsr2-rcr25-esr100.npz,,,,,0,1,1,253,,right,red,2.81,267.1605110168457,267.6175711154938,1,,2,8,lightness,readingArea,realistic,75,2023-03-27_15h15.16.774,tripletExp_regina_11082022,2022.2.4,119.88109937348517,
8,1,14,2,0.25,1.0,2,0.111111111111111,0.298245614035088,2,0.25,3.10526315789474,ReadingArea_rsl2-rcl25-esl100-rsm2-rcm11-esm29-rsr2-rcr25-esr310,exr/ReadingArea_rsl2-rcl25-esl100-rsm2-rcm11-esm29-rsr2-rcr25-esr310.exr,ReadingArea_rsl2-rcl25-esl100-rsm2-rcm11-esm29-rsr2-rcr25-esr310.npz,,,,,0,2,2,500,,left,green,2.28,271.087769985199,271.51979303359985,1,,2,8,lightness,readingArea,realistic,75,2023-03-27_15h15.16.774,tripletExp_regina_11082022,2022.2.4,119.88109937348517,
10,14,4,2,0.694444444444444,1.0,2,0.25,3.10526315789474,2,0.694444444444444,0.298245614035088,ReadingArea_rsl2-rcl69-esl100-rsm2-rcm25-esm310-rsr2-rcr69-esr29,exr/ReadingArea_rsl2-rcl69-esl100-rsm2-rcm25-esm310-rsr2-rcr69-esr29.exr,ReadingArea_rsl2-rcl69-esl100-rsm2-rcm25-esm310-rsr2-rcr69-esr29.npz,,,,,0,3,3,267,,right,red,2.54,274.99028396606445,275.39417791366577,1,,2,8,lightness,readingArea,realistic,75,2023-03-27_15h15.16.774,tripletExp_regina_11082022,2022.2.4,119.88109937348517,
1,5,14,2,0.111111111111111,0.298245614035088,2,1.0,0.298245614035088,2,0.25,3.10526315789474,ReadingArea_rsl2-rcl11-esl29-rsm2-rcm100-esm29-rsr2-rcr25-esr310,exr/ReadingArea_rsl2-rcl11-esl29-rsm2-rcm100-esm29-rsr2-rcr25-esr310.exr,ReadingArea_rsl2-rcl11-esl29-rsm2-rcm100-esm29-rsr2-rcr25-esr310.npz,,,,,0,4,4,191,,right,red,3.59,278.8794491291046,279.2851619720459,1,,2,8,lightness,readingArea,realistic,75,2023-03-27_15h15.16.774,tripletExp_regina_11082022,2022.2.4,119.88109937348517,
12,13,10,2,0.027777777777778,3.10526315789474,2,0.111111111111111,3.10526315789474,2,0.694444444444444,1.0,ReadingArea_rsl2-rcl2-esl310-rsm2-rcm11-esm310-rsr2-rcr69-esr100,exr/ReadingArea_rsl2-rcl2-esl310-rsm2-rcm11-esm310-rsr2-rcr69-esr100.exr,ReadingArea_rsl2-rcl2-esl310-rsm2-rcm11-esm310-rsr2-rcr69-esr100.npz,,,,,0,5,5,295,,left,green,2.06,282.7428939342499,283.1528980731964,1,,2,8,lightness,readingArea,realistic,75,2023-03-27_15h15.16.774,tripletExp_regina_11082022,2022.2.4,119.88109937348517,
0,14,11,2,0.027777777777778,0.298245614035088,2,0.25,3.10526315789474,2,1.0,1.0,ReadingArea_rsl2-rcl2-esl29-rsm2-rcm25-esm310-rsr2-rcr100-esr100,exr/ReadingArea_rsl2-rcl2-esl29-rsm2-rcm25-esm310-rsr2-rcr100-esr100.exr,ReadingArea_rsl2-rcl2-esl29-rsm2-rcm25-esm310-rsr2-rcr100-esr100.npz,,,,,0,6,6,557,,right,red,0.94,284.8670799732208,285.26981592178345,1,,2,8,lightness,readingArea,realistic,75,2023-03-27_15h15.16.774,tripletExp_regina_11082022,2022.2.4,119.88109937348517,
9,0,8,2,0.444444444444444,1.0,2,0.027777777777778,0.298245614035088,2,0.25,1.0,ReadingArea_rsl2-rcl44-esl100-rsm2-rcm2-esm29-rsr2-rcr25-esr100,exr/ReadingArea_rsl2-rcl44-esl100-rsm2-rcm2-esm29-rsr2-rcr25-esr100.exr,ReadingArea_rsl2-rcl44-esl100-rsm2-rcm2-esm29-rsr2-rcr25-esr100.npz,,,,,0,7,7,27,,right,red,1.23,286.9659810066223,287.3694009780884,1,,2,8,lightness,readingArea,realistic,75,2023-03-27_15h15.16.774,tripletExp_regina_11082022,2022.2.4,119.88109937348517,
6,14,10,2,0.027777777777778,1.0,2,0.25,3.10526315789474,2,0.694444444444444,1.0,ReadingArea_rsl2-rcl2-esl100-rsm2-rcm25-esm310-rsr2-rcr69-esr100,exr/ReadingArea_rsl2-rcl2-esl100-rsm2-rcm25-esm310-rsr2-rcr69-esr100.exr,ReadingArea_rsl2-rcl2-esl100-rsm2-rcm25-esm310-rsr2-rcr69-esr100.npz,,,,,0,8,8,413,,right,red,1.27,289.08516812324524,,1,,2,8,lightness,readingArea,realistic,75,2023-03-27_15h15.16.774,tripletExp_regina_11082022,2022.2.4,119.88109937348517,
14,2,1,2,0.25,3.10526315789474,2,0.25,0.298245614035088,2,0.111111111111111,0.298245614035088,ReadingArea_rsl2-rcl25-esl310-rsm2-rcm25-esm29-rsr2-rcr11-esr29,exr/ReadingArea_rsl2-rcl25-esl310-rsm2-rcm25-esm29-rsr2-rcr11-esr29.exr,ReadingArea_rsl2-rcl25-esl310-rsm2-rcm25-esm29-rsr2-rcr11-esr29.npz,,,,,0,9,9,321,,right,red,1.21,291.2018139362335,,1,,2,8,lightness,readingArea,realistic,75,2023-03-27_15h15.16.774,tripletExp_regina_11082022,2022.2.4,119.88109937348517,
