index_left,index_middle,index_right,reflectance_surround_left,reflectance_center_left,emission_spot_left,reflectance_surround_middle,reflectance_center_middle,emission_spot_middle,reflectance_surround_right,reflectance_center_right,emission_spot_right,ImageName,ImageExr,ImageNpy,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sound_1.started,BB_Trial.resp,BB_Trial.color,BB_Trial.rt,text.started,text.stopped,block,sound_4.started,participant,session,L/B,scene,condition,nTrialsPerBlock,date,expName,psychopyVersion,frameRate,Unnamed: 41
1,5,8,2,0.111111111111111,0.298245614035088,2,1.0,0.298245614035088,2,0.25,1.0,ReadingArea_rsl2-rcl11-esl29-rsm2-rcm100-esm29-rsr2-rcr25-esr100,exr/ReadingArea_rsl2-rcl11-esl29-rsm2-rcm100-esm29-rsr2-rcr25-esr100.exr,ReadingArea_rsl2-rcl11-esl29-rsm2-rcm100-esm29-rsr2-rcr25-esr100.npz,,,,,0,0,0,238,692.9939140796662,right,red,2.09,708.8286809921265,693.9830591678619,1,,4,10,brightness,readingArea,realistic,75,2023-03-30_10h26.40.988,tripletExp_regina_11082022,2022.2.4,120.92628471261186,
10,7,11,2,0.694444444444444,1.0,2,0.111111111111111,1.0,2,1.0,1.0,ReadingArea_rsl2-rcl69-esl100-rsm2-rcm11-esm100-rsr2-rcr100-esr100,exr/ReadingArea_rsl2-rcl69-esl100-rsm2-rcm11-esm100-rsr2-rcr100-esr100.exr,ReadingArea_rsl2-rcl69-esl100-rsm2-rcm11-esm100-rsr2-rcr100-esr100.npz,,,,,0,1,1,542,,left,green,2.09,712.8072550296783,713.3645219802856,1,,4,10,brightness,readingArea,realistic,75,2023-03-30_10h26.40.988,tripletExp_regina_11082022,2022.2.4,120.92628471261186,
10,3,14,2,0.694444444444444,1.0,2,0.444444444444444,0.298245614035088,2,0.25,3.10526315789474,ReadingArea_rsl2-rcl69-esl100-rsm2-rcm44-esm29-rsr2-rcr25-esr310,exr/ReadingArea_rsl2-rcl69-esl100-rsm2-rcm44-esm29-rsr2-rcr25-esr310.exr,ReadingArea_rsl2-rcl69-esl100-rsm2-rcm44-esm29-rsr2-rcr25-esr310.npz,,,,,0,2,2,597,,left,green,2.45,716.8307800292969,717.3980560302734,1,,4,10,brightness,readingArea,realistic,75,2023-03-30_10h26.40.988,tripletExp_regina_11082022,2022.2.4,120.92628471261186,
9,13,5,2,0.444444444444444,1.0,2,0.111111111111111,3.10526315789474,2,1.0,0.298245614035088,ReadingArea_rsl2-rcl44-esl100-rsm2-rcm11-esm310-rsr2-rcr100-esr29,exr/ReadingArea_rsl2-rcl44-esl100-rsm2-rcm11-esm310-rsr2-rcr100-esr29.exr,ReadingArea_rsl2-rcl44-esl100-rsm2-rcm11-esm310-rsr2-rcr100-esr29.npz,,,,,0,3,3,349,,right,red,4.26,722.6492969989777,723.1153931617737,1,,4,10,brightness,readingArea,realistic,75,2023-03-30_10h26.40.988,tripletExp_regina_11082022,2022.2.4,120.92628471261186,
3,5,7,2,0.444444444444444,0.298245614035088,2,1.0,0.298245614035088,2,0.111111111111111,1.0,ReadingArea_rsl2-rcl44-esl29-rsm2-rcm100-esm29-rsr2-rcr11-esr100,exr/ReadingArea_rsl2-rcl44-esl29-rsm2-rcm100-esm29-rsr2-rcr11-esr100.exr,ReadingArea_rsl2-rcl44-esl29-rsm2-rcm100-esm29-rsr2-rcr11-esr100.npz,,,,,0,4,4,474,,left,green,4.13,728.3761351108551,728.95339012146,1,,4,10,brightness,readingArea,realistic,75,2023-03-30_10h26.40.988,tripletExp_regina_11082022,2022.2.4,120.92628471261186,
10,7,3,2,0.694444444444444,1.0,2,0.111111111111111,1.0,2,0.444444444444444,0.298245614035088,ReadingArea_rsl2-rcl69-esl100-rsm2-rcm11-esm100-rsr2-rcr44-esr29,exr/ReadingArea_rsl2-rcl69-esl100-rsm2-rcm11-esm100-rsr2-rcr44-esr29.exr,ReadingArea_rsl2-rcl69-esl100-rsm2-rcm11-esm100-rsr2-rcr44-esr29.npz,,,,,0,5,5,582,,right,red,2.22,732.4481379985809,,1,,4,10,brightness,readingArea,realistic,75,2023-03-30_10h26.40.988,tripletExp_regina_11082022,2022.2.4,120.92628471261186,
10,1,6,2,0.694444444444444,1.0,2,0.111111111111111,0.298245614035088,2,0.027777777777778,1.0,ReadingArea_rsl2-rcl69-esl100-rsm2-rcm11-esm29-rsr2-rcr2-esr100,exr/ReadingArea_rsl2-rcl69-esl100-rsm2-rcm11-esm29-rsr2-rcr2-esr100.exr,ReadingArea_rsl2-rcl69-esl100-rsm2-rcm11-esm29-rsr2-rcr2-esr100.npz,,,,,0,6,6,160,,right,red,1.33,734.6317510604858,,1,,4,10,brightness,readingArea,realistic,75,2023-03-30_10h26.40.988,tripletExp_regina_11082022,2022.2.4,120.92628471261186,
14,8,5,2,0.25,3.10526315789474,2,0.25,1.0,2,1.0,0.298245614035088,ReadingArea_rsl2-rcl25-esl310-rsm2-rcm25-esm100-rsr2-rcr100-esr29,exr/ReadingArea_rsl2-rcl25-esl310-rsm2-rcm25-esm100-rsr2-rcr100-esr29.exr,ReadingArea_rsl2-rcl25-esl310-rsm2-rcm25-esm100-rsr2-rcr100-esr29.npz,,,,,0,7,7,28,,right,red,2.4,738.6011171340942,739.0669581890106,1,,4,10,brightness,readingArea,realistic,75,2023-03-30_10h26.40.988,tripletExp_regina_11082022,2022.2.4,120.92628471261186,
0,5,12,2,0.027777777777778,0.298245614035088,2,1.0,0.298245614035088,2,0.027777777777778,3.10526315789474,ReadingArea_rsl2-rcl2-esl29-rsm2-rcm100-esm29-rsr2-rcr2-esr310,exr/ReadingArea_rsl2-rcl2-esl29-rsm2-rcm100-esm29-rsr2-rcr2-esr310.exr,ReadingArea_rsl2-rcl2-esl29-rsm2-rcm100-esm29-rsr2-rcr2-esr310.npz,,,,,0,8,8,366,,right,red,3.85,744.320680141449,744.7812511920929,1,,4,10,brightness,readingArea,realistic,75,2023-03-30_10h26.40.988,tripletExp_regina_11082022,2022.2.4,120.92628471261186,
11,6,8,2,1.0,1.0,2,0.027777777777778,1.0,2,0.25,1.0,ReadingArea_rsl2-rcl100-esl100-rsm2-rcm2-esm100-rsr2-rcr25-esr100,exr/ReadingArea_rsl2-rcl100-esl100-rsm2-rcm2-esm100-rsr2-rcr25-esr100.exr,ReadingArea_rsl2-rcl100-esl100-rsm2-rcm2-esm100-rsr2-rcr25-esr100.npz,,,,,0,9,9,599,,right,red,2.31,748.2464292049408,748.7191631793976,1,,4,10,brightness,readingArea,realistic,75,2023-03-30_10h26.40.988,tripletExp_regina_11082022,2022.2.4,120.92628471261186,
