index_left,index_middle,index_right,reflectance_surround_left,reflectance_center_left,emission_spot_left,reflectance_surround_middle,reflectance_center_middle,emission_spot_middle,reflectance_surround_right,reflectance_center_right,emission_spot_right,ImageName,ImageExr,ImageNpy,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sound_1.started,BB_Trial.resp,BB_Trial.color,BB_Trial.rt,text.started,text.stopped,sound_1.stopped,sound_2.started,block,sound_4.started,participant,session,L/B,scene,condition,nTrialsPerBlock,date,expName,psychopyVersion,frameRate,Unnamed: 43
11,6,14,0,1.0,1.0,0,0.027777777777778,1.0,0,0.25,3.10526315789474,ReadingArea_rsl0-rcl100-esl100-rsm0-rcm2-esm100-rsr0-rcr25-esr310,exr/ReadingArea_rsl0-rcl100-esl100-rsm0-rcm2-esm100-rsr0-rcr25-esr310.exr,ReadingArea_rsl0-rcl100-esl100-rsm0-rcm2-esm100-rsr0-rcr25-esr310.npz,,,,,0,0,0,305,1679.108564710617,left,green,1.57,1703.3182151317596,1673.8676011562347,1601.241380929947,1616.9444197177886,1,,6,1,lightness,readingArea,realistic,75,2023-03-22_15h06.57.545,tripletExp_regina_11082022,2022.2.4,120.27919727914566,
4,12,2,0,0.694444444444444,0.298245614035088,0,0.027777777777778,3.10526315789474,0,0.25,0.298245614035088,ReadingArea_rsl0-rcl69-esl29-rsm0-rcm2-esm310-rsr0-rcr25-esr29,exr/ReadingArea_rsl0-rcl69-esl29-rsm0-rcm2-esm310-rsr0-rcr25-esr29.exr,ReadingArea_rsl0-rcl69-esl29-rsm0-rcm2-esm310-rsr0-rcr25-esr29.npz,,,,,0,1,1,543,,right,red,1.46,1705.443176984787,,,,1,,6,1,lightness,readingArea,realistic,75,2023-03-22_15h06.57.545,tripletExp_regina_11082022,2022.2.4,120.27919727914566,
11,12,4,0,1.0,1.0,0,0.027777777777778,3.10526315789474,0,0.694444444444444,0.298245614035088,ReadingArea_rsl0-rcl100-esl100-rsm0-rcm2-esm310-rsr0-rcr69-esr29,exr/ReadingArea_rsl0-rcl100-esl100-rsm0-rcm2-esm310-rsr0-rcr69-esr29.exr,ReadingArea_rsl0-rcl100-esl100-rsm0-rcm2-esm310-rsr0-rcr69-esr29.npz,,,,,0,2,2,250,,right,red,1.18,1707.5517921447754,1707.9022631645205,,,1,,6,1,lightness,readingArea,realistic,75,2023-03-22_15h06.57.545,tripletExp_regina_11082022,2022.2.4,120.27919727914566,
13,10,9,0,0.111111111111111,3.10526315789474,0,0.694444444444444,1.0,0,0.444444444444444,1.0,ReadingArea_rsl0-rcl11-esl310-rsm0-rcm69-esm100-rsr0-rcr44-esr100,exr/ReadingArea_rsl0-rcl11-esl310-rsm0-rcm69-esm100-rsr0-rcr44-esr100.exr,ReadingArea_rsl0-rcl11-esl310-rsm0-rcm69-esm100-rsr0-rcr44-esr100.npz,,,,,0,3,3,330,,right,red,1.26,1709.5915350914,1709.935832977295,,,1,,6,1,lightness,readingArea,realistic,75,2023-03-22_15h06.57.545,tripletExp_regina_11082022,2022.2.4,120.27919727914566,
12,7,2,0,0.027777777777778,3.10526315789474,0,0.111111111111111,1.0,0,0.25,0.298245614035088,ReadingArea_rsl0-rcl2-esl310-rsm0-rcm11-esm100-rsr0-rcr25-esr29,exr/ReadingArea_rsl0-rcl2-esl310-rsm0-rcm11-esm100-rsr0-rcr25-esr29.exr,ReadingArea_rsl0-rcl2-esl310-rsm0-rcm11-esm100-rsr0-rcr25-esr29.npz,,,,,0,4,4,248,,left,green,1.66,1711.6493890285492,1711.9898660182953,,,1,,6,1,lightness,readingArea,realistic,75,2023-03-22_15h06.57.545,tripletExp_regina_11082022,2022.2.4,120.27919727914566,
7,4,2,0,0.111111111111111,1.0,0,0.694444444444444,0.298245614035088,0,0.25,0.298245614035088,ReadingArea_rsl0-rcl11-esl100-rsm0-rcm69-esm29-rsr0-rcr25-esr29,exr/ReadingArea_rsl0-rcl11-esl100-rsm0-rcm69-esm29-rsr0-rcr25-esr29.exr,ReadingArea_rsl0-rcl11-esl100-rsm0-rcm69-esm29-rsr0-rcr25-esr29.npz,,,,,0,5,5,146,,left,green,2.85,1715.4587171077728,1715.803512096405,,,1,,6,1,lightness,readingArea,realistic,75,2023-03-22_15h06.57.545,tripletExp_regina_11082022,2022.2.4,120.27919727914566,
12,11,13,0,0.027777777777778,3.10526315789474,0,1.0,1.0,0,0.111111111111111,3.10526315789474,ReadingArea_rsl0-rcl2-esl310-rsm0-rcm100-esm100-rsr0-rcr11-esr310,exr/ReadingArea_rsl0-rcl2-esl310-rsm0-rcm100-esm100-rsr0-rcr11-esr310.exr,ReadingArea_rsl0-rcl2-esl310-rsm0-rcm100-esm100-rsr0-rcr11-esr310.npz,,,,,0,6,6,151,,right,red,1.47,1717.500615119934,1717.8411231040957,,,1,,6,1,lightness,readingArea,realistic,75,2023-03-22_15h06.57.545,tripletExp_regina_11082022,2022.2.4,120.27919727914566,
12,0,2,0,0.027777777777778,3.10526315789474,0,0.027777777777778,0.298245614035088,0,0.25,0.298245614035088,ReadingArea_rsl0-rcl2-esl310-rsm0-rcm2-esm29-rsr0-rcr25-esr29,exr/ReadingArea_rsl0-rcl2-esl310-rsm0-rcm2-esm29-rsr0-rcr25-esr29.exr,ReadingArea_rsl0-rcl2-esl310-rsm0-rcm2-esm29-rsr0-rcr25-esr29.npz,,,,,0,7,7,77,,left,green,2.8,1721.3219540119171,1721.6672430038452,,,1,,6,1,lightness,readingArea,realistic,75,2023-03-22_15h06.57.545,tripletExp_regina_11082022,2022.2.4,120.27919727914566,
8,13,3,0,0.25,1.0,0,0.111111111111111,3.10526315789474,0,0.444444444444444,0.298245614035088,ReadingArea_rsl0-rcl25-esl100-rsm0-rcm11-esm310-rsr0-rcr44-esr29,exr/ReadingArea_rsl0-rcl25-esl100-rsm0-rcm11-esm310-rsr0-rcr44-esr29.exr,ReadingArea_rsl0-rcl25-esl100-rsm0-rcm11-esm310-rsr0-rcr44-esr29.npz,,,,,0,8,8,553,,left,green,2.58,1725.1779761314392,1725.571844100952,,,1,,6,1,lightness,readingArea,realistic,75,2023-03-22_15h06.57.545,tripletExp_regina_11082022,2022.2.4,120.27919727914566,
7,3,5,0,0.111111111111111,1.0,0,0.444444444444444,0.298245614035088,0,1.0,0.298245614035088,ReadingArea_rsl0-rcl11-esl100-rsm0-rcm44-esm29-rsr0-rcr100-esr29,exr/ReadingArea_rsl0-rcl11-esl100-rsm0-rcm44-esm29-rsr0-rcr100-esr29.exr,ReadingArea_rsl0-rcl11-esl100-rsm0-rcm44-esm29-rsr0-rcr100-esr29.npz,,,,,0,9,9,589,,left,green,1.18,1727.2859661579132,1727.6255440711975,,,1,,6,1,lightness,readingArea,realistic,75,2023-03-22_15h06.57.545,tripletExp_regina_11082022,2022.2.4,120.27919727914566,
