index_left,index_middle,index_right,reflectance_surround_left,reflectance_center_left,emission_spot_left,reflectance_surround_middle,reflectance_center_middle,emission_spot_middle,reflectance_surround_right,reflectance_center_right,emission_spot_right,ImageName,ImageExr,ImageNpy,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sound_1.started,BB_Trial.resp,BB_Trial.color,BB_Trial.rt,text.started,text.stopped,sound_1.stopped,block,sound_4.started,participant,session,L/B,scene,condition,nTrialsPerBlock,date,expName,psychopyVersion,frameRate,Unnamed: 42
13,0,4,2,0.111111111111111,3.10526315789474,2,0.027777777777778,0.298245614035088,2,0.694444444444444,0.298245614035088,ReadingArea_rsl2-rcl11-esl310-rsm2-rcm2-esm29-rsr2-rcr69-esr29,exr/ReadingArea_rsl2-rcl11-esl310-rsm2-rcm2-esm29-rsr2-rcr69-esr29.exr,ReadingArea_rsl2-rcl11-esl310-rsm2-rcm2-esm29-rsr2-rcr69-esr29.npz,,,,,0,0,0,270,149.9531445980072,right,red,4.53,159.21287894248962,150.93413496017456,135.9179928302765,1,,8,2,lightness,readingArea,realistic,75,2023-03-28_14h30.23.525,tripletExp_regina_11082022,2022.2.4,120.04819897820455,
9,11,3,2,0.444444444444444,1.0,2,1.0,1.0,2,0.444444444444444,0.298245614035088,ReadingArea_rsl2-rcl44-esl100-rsm2-rcm100-esm100-rsr2-rcr44-esr29,exr/ReadingArea_rsl2-rcl44-esl100-rsm2-rcm100-esm100-rsr2-rcr44-esr29.exr,ReadingArea_rsl2-rcl44-esl100-rsm2-rcm100-esm100-rsr2-rcr44-esr29.npz,,,,,0,1,1,348,,left,green,2.34,163.1140580177307,,,1,,8,2,lightness,readingArea,realistic,75,2023-03-28_14h30.23.525,tripletExp_regina_11082022,2022.2.4,120.04819897820455,
0,14,6,2,0.027777777777778,0.298245614035088,2,0.25,3.10526315789474,2,0.027777777777778,1.0,ReadingArea_rsl2-rcl2-esl29-rsm2-rcm25-esm310-rsr2-rcr2-esr100,exr/ReadingArea_rsl2-rcl2-esl29-rsm2-rcm25-esm310-rsr2-rcr2-esr100.exr,ReadingArea_rsl2-rcl2-esl29-rsm2-rcm25-esm310-rsr2-rcr2-esr100.npz,,,,,0,2,2,499,,right,red,4.27,168.80984497070312,169.18190598487854,,1,,8,2,lightness,readingArea,realistic,75,2023-03-28_14h30.23.525,tripletExp_regina_11082022,2022.2.4,120.04819897820455,
13,0,9,2,0.111111111111111,3.10526315789474,2,0.027777777777778,0.298245614035088,2,0.444444444444444,1.0,ReadingArea_rsl2-rcl11-esl310-rsm2-rcm2-esm29-rsr2-rcr44-esr100,exr/ReadingArea_rsl2-rcl11-esl310-rsm2-rcm2-esm29-rsr2-rcr44-esr100.exr,ReadingArea_rsl2-rcl11-esl310-rsm2-rcm2-esm29-rsr2-rcr44-esr100.npz,,,,,0,3,3,373,,left,green,2.7,172.65430283546448,173.02886700630188,,1,,8,2,lightness,readingArea,realistic,75,2023-03-28_14h30.23.525,tripletExp_regina_11082022,2022.2.4,120.04819897820455,
14,8,5,2,0.25,3.10526315789474,2,0.25,1.0,2,1.0,0.298245614035088,ReadingArea_rsl2-rcl25-esl310-rsm2-rcm25-esm100-rsr2-rcr100-esr29,exr/ReadingArea_rsl2-rcl25-esl310-rsm2-rcm25-esm100-rsr2-rcr100-esr29.exr,ReadingArea_rsl2-rcl25-esl310-rsm2-rcm25-esm100-rsr2-rcr100-esr29.npz,,,,,0,4,4,28,,right,red,1.97,176.49487900733948,176.88463497161865,,1,,8,2,lightness,readingArea,realistic,75,2023-03-28_14h30.23.525,tripletExp_regina_11082022,2022.2.4,120.04819897820455,
2,3,9,2,0.25,0.298245614035088,2,0.444444444444444,0.298245614035088,2,0.444444444444444,1.0,ReadingArea_rsl2-rcl25-esl29-rsm2-rcm44-esm29-rsr2-rcr44-esr100,exr/ReadingArea_rsl2-rcl25-esl29-rsm2-rcm44-esm29-rsr2-rcr44-esr100.exr,ReadingArea_rsl2-rcl25-esl29-rsm2-rcm44-esm29-rsr2-rcr44-esr100.npz,,,,,0,5,5,190,,left,green,1.68,178.5791358947754,178.97157192230225,,1,,8,2,lightness,readingArea,realistic,75,2023-03-28_14h30.23.525,tripletExp_regina_11082022,2022.2.4,120.04819897820455,
10,11,9,2,0.694444444444444,1.0,2,1.0,1.0,2,0.444444444444444,1.0,ReadingArea_rsl2-rcl69-esl100-rsm2-rcm100-esm100-rsr2-rcr44-esr100,exr/ReadingArea_rsl2-rcl69-esl100-rsm2-rcm100-esm100-rsr2-rcr44-esr100.exr,ReadingArea_rsl2-rcl69-esl100-rsm2-rcm100-esm100-rsr2-rcr44-esr100.npz,,,,,0,6,6,492,,left,green,4.63,184.22714400291443,184.627454996109,,1,,8,2,lightness,readingArea,realistic,75,2023-03-28_14h30.23.525,tripletExp_regina_11082022,2022.2.4,120.04819897820455,
7,10,13,2,0.111111111111111,1.0,2,0.694444444444444,1.0,2,0.111111111111111,3.10526315789474,ReadingArea_rsl2-rcl11-esl100-rsm2-rcm69-esm100-rsr2-rcr11-esr310,exr/ReadingArea_rsl2-rcl11-esl100-rsm2-rcm69-esm100-rsr2-rcr11-esr310.exr,ReadingArea_rsl2-rcl11-esl100-rsm2-rcm69-esm100-rsr2-rcr11-esr310.npz,,,,,0,7,7,446,,right,red,4.01,189.86499905586243,190.2388770580292,,1,,8,2,lightness,readingArea,realistic,75,2023-03-28_14h30.23.525,tripletExp_regina_11082022,2022.2.4,120.04819897820455,
1,10,7,2,0.111111111111111,0.298245614035088,2,0.694444444444444,1.0,2,0.111111111111111,1.0,ReadingArea_rsl2-rcl11-esl29-rsm2-rcm69-esm100-rsr2-rcr11-esr100,exr/ReadingArea_rsl2-rcl11-esl29-rsm2-rcm69-esm100-rsr2-rcr11-esr100.exr,ReadingArea_rsl2-rcl11-esl29-rsm2-rcm69-esm100-rsr2-rcr11-esr100.npz,,,,,0,8,8,94,,right,red,2.4,193.72205996513367,194.10673093795776,,1,,8,2,lightness,readingArea,realistic,75,2023-03-28_14h30.23.525,tripletExp_regina_11082022,2022.2.4,120.04819897820455,
14,7,8,2,0.25,3.10526315789474,2,0.111111111111111,1.0,2,0.25,1.0,ReadingArea_rsl2-rcl25-esl310-rsm2-rcm11-esm100-rsr2-rcr25-esr100,exr/ReadingArea_rsl2-rcl25-esl310-rsm2-rcm11-esm100-rsr2-rcr25-esr100.exr,ReadingArea_rsl2-rcl25-esl310-rsm2-rcm11-esm100-rsr2-rcr25-esr100.npz,,,,,0,9,9,326,,right,red,0.88,195.8214509487152,196.22165489196777,,1,,8,2,lightness,readingArea,realistic,75,2023-03-28_14h30.23.525,tripletExp_regina_11082022,2022.2.4,120.04819897820455,
7,14,11,2,0.111111111111111,1.0,2,0.25,3.10526315789474,2,1.0,1.0,ReadingArea_rsl2-rcl11-esl100-rsm2-rcm25-esm310-rsr2-rcr100-esr100,exr/ReadingArea_rsl2-rcl11-esl100-rsm2-rcm25-esm310-rsr2-rcr100-esr100.exr,ReadingArea_rsl2-rcl11-esl100-rsm2-rcm25-esm310-rsr2-rcr100-esr100.npz,,,,,0,10,10,252,,right,red,0.91,197.90760684013367,198.2806658744812,,1,,8,2,lightness,readingArea,realistic,75,2023-03-28_14h30.23.525,tripletExp_regina_11082022,2022.2.4,120.04819897820455,
